case_number,case_link,date_of_receipt,judge,source_page
2-697/2025 ~ М-599/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843661&case_uid=8da3b091-2dc7-4be2-9b75-8e7481a1c9e1&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,5
2-696/2025 ~ М-598/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843632&case_uid=226ad6a4-6196-4118-a1c3-ab577d553fa0&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,5
2-695/2025 ~ М-597/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843601&case_uid=11c8b064-1aeb-429d-a105-bfcb8c4a368d&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,5
2-694/2025 ~ М-596/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843553&case_uid=e5b86096-2154-48b8-b080-2a3525aeadf9&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,5
2-693/2025 ~ М-595/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843538&case_uid=e1ccebd1-59c8-405b-8636-15f7d71c0c2c&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,5
2-692/2025 ~ М-594/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843523&case_uid=9498f032-0fa6-4ac9-84f0-3be2cbb3de01&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,5
2-691/2025 ~ М-593/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843507&case_uid=5a67e746-d8ba-4a0f-ac86-a04b835808f4&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,5
2-690/2025 ~ М-592/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843493&case_uid=cf327fa8-93a0-4832-b2f8-eadd1cf5be7c&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,5
2-688/2025 ~ М-586/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843976&case_uid=2326fc32-7661-4aae-be1e-5d5d6d42c948&delo_id=1540005,14.08.2025,Никифоров Максим Юрьевич,5
2-684/2025 ~ М-585/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843963&case_uid=ffad1600-17ec-4f29-b657-08a4993df49d&delo_id=1540005,14.08.2025,Фок Татьяна Андреевна,5
2-687/2025 ~ М-584/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843945&case_uid=f033422c-7669-4787-a101-82e547ab685a&delo_id=1540005,14.08.2025,Никифоров Максим Юрьевич,5
2-683/2025 ~ М-583/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843928&case_uid=3ecac9b9-e9d5-4632-ba1c-b384eaf36f74&delo_id=1540005,14.08.2025,Фок Татьяна Андреевна,5
2-682/2025 ~ М-582/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843911&case_uid=ef484ba6-8b2f-4bdb-8b01-17cbb2b58c6f&delo_id=1540005,14.08.2025,Фок Татьяна Андреевна,5
2-686/2025 ~ М-581/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843894&case_uid=133a69fc-6496-4082-805d-77ac115a2a69&delo_id=1540005,14.08.2025,Никифоров Максим Юрьевич,5
2-685/2025 ~ М-580/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843865&case_uid=11c3c32e-1287-4dca-b2ec-e4992414da93&delo_id=1540005,14.08.2025,Никифоров Максим Юрьевич,5
2-681/2025 ~ М-579/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843848&case_uid=1c12c9f5-284a-4b1c-b6e5-c44d22ca3de3&delo_id=1540005,14.08.2025,Фок Татьяна Андреевна,5
2-3/2026 (2-636/2025;) ~ М-532/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30842808&case_uid=1530acb3-a167-4fd2-8677-e55415d0dc54&delo_id=1540005,31.07.2025,Никифоров Максим Юрьевич,5
2-631/2025 ~ М-531/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30842655&case_uid=e92ab4f6-43bc-4081-a6c3-a3959467989b&delo_id=1540005,31.07.2025,Фок Татьяна Андреевна,5
2-632/2025 ~ М-530/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30842639&case_uid=1cf8fe50-51fc-464b-b009-be23c7363b4d&delo_id=1540005,31.07.2025,Фок Татьяна Андреевна,5
2-633/2025 ~ М-529/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30841836&case_uid=8c8cd9be-3510-46bd-b641-50b47b74bf52&delo_id=1540005,31.07.2025,Фок Татьяна Андреевна,5
2-619/2025 ~ М-520/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30839657&case_uid=9a728bbe-c6fc-442d-8db3-a8e499694d42&delo_id=1540005,25.07.2025,Фок Татьяна Андреевна,5
2-596/2025 ~ М-500/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30842746&case_uid=23ca4c43-8689-4ec0-8414-14f255cff910&delo_id=1540005,17.07.2025,Фок Татьяна Андреевна,5
2-569/2025 ~ М-466/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30841356&case_uid=0440122c-aa3c-445d-b824-29cd371ff954&delo_id=1540005,30.06.2025,Никифоров Максим Юрьевич,5
2-494/2025 ~ М-396/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30840483&case_uid=599a8978-a040-453c-aac9-3e7d98ab4078&delo_id=1540005,30.05.2025,Фок Татьяна Андреевна,6
2-493/2025 ~ М-395/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30840370&case_uid=9a654666-48d4-46a5-b4f3-10ab986f2c0a&delo_id=1540005,30.05.2025,Фок Татьяна Андреевна,6
2-512/2025 ~ М-394/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30840328&case_uid=3e09b1ad-9702-4407-96cc-53062b6b3f05&delo_id=1540005,30.05.2025,Литюк Василий Васильевич,6
2-492/2025 ~ М-393/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30840311&case_uid=f4d46f92-465e-4fda-bdb0-3de7de3ff498&delo_id=1540005,30.05.2025,Фок Татьяна Андреевна,6
2-511/2025 ~ М-392/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30840298&case_uid=b665dcde-c098-4c99-b724-20ea76c8ca26&delo_id=1540005,30.05.2025,Литюк Василий Васильевич,6
2-510/2025 ~ М-391/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30839945&case_uid=b0da4424-36b6-4baf-a9aa-6c74a772171f&delo_id=1540005,30.05.2025,Литюк Василий Васильевич,6
2-491/2025 ~ М-390/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30839812&case_uid=4e53a831-22e3-4edd-a5b9-05e73b7e4bb8&delo_id=1540005,30.05.2025,Фок Татьяна Андреевна,6
2-490/2025 ~ М-389/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30839142&case_uid=3632cf64-f8d9-48b6-a68b-d5254c368689&delo_id=1540005,30.05.2025,Фок Татьяна Андреевна,6
2-489/2025 ~ М-388/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30836341&case_uid=42ea25a3-612a-4f60-84e6-23675d063f72&delo_id=1540005,30.05.2025,Фок Татьяна Андреевна,6
2-488/2025 ~ М-387/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30836103&case_uid=3312d74b-9d64-4f61-aebf-451d55783e74&delo_id=1540005,30.05.2025,Фок Татьяна Андреевна,6
2-411/2025 ~ М-300/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30838011&case_uid=03784eaf-6d1f-40fd-ab92-d1d751940ae4&delo_id=1540005,25.04.2025,Фок Татьяна Андреевна,6
2-410/2025 ~ М-299/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30837916&case_uid=ea078786-1984-4167-85c6-6d879f1d7fa9&delo_id=1540005,25.04.2025,Никифоров Максим Юрьевич,6
2-337/2025 ~ М-226/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30837779&case_uid=bbf95901-cfb4-4d9f-9479-e56cb4161f0f&delo_id=1540005,26.03.2025,Литюк Василий Васильевич,6
2-323/2025 ~ М-215/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30838711&case_uid=864a6cbe-5c2b-49d8-99df-9427b4dc95db&delo_id=1540005,20.03.2025,Никифоров Максим Юрьевич,6
2-321/2025 ~ М-214/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30838693&case_uid=408a5301-4c92-4e38-b841-0d34d5d7c40b&delo_id=1540005,20.03.2025,Фок Татьяна Андреевна,6
2-322/2025 ~ М-213/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30838680&case_uid=c9d57d9e-7ad5-4734-80d4-f7e7dfc0ef87&delo_id=1540005,20.03.2025,Фок Татьяна Андреевна,6
2-334/2025 ~ М-212/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30838667&case_uid=c8fce4d1-8fd9-4247-89a7-5853a4840235&delo_id=1540005,20.03.2025,Литюк Василий Васильевич,6
2-333/2025 ~ М-211/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30838653&case_uid=18811b18-c14e-426a-b903-6e0b2e76396c&delo_id=1540005,20.03.2025,Литюк Василий Васильевич,6
2-319/2025 ~ М-210/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30838639&case_uid=91061aeb-12ee-48bf-8e9d-55ddb2056213&delo_id=1540005,20.03.2025,Фок Татьяна Андреевна,6
2-320/2025 ~ М-209/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30838357&case_uid=08bcb67d-eb45-4e64-9c49-a25a64bf4f51&delo_id=1540005,20.03.2025,Фок Татьяна Андреевна,6
2-315/2025 ~ М-197/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30838600&case_uid=f14de8e3-23d0-46fe-9a89-7eeb59dd68b6&delo_id=1540005,14.03.2025,Литюк Василий Васильевич,6
2-304/2025 ~ М-196/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30838574&case_uid=a1acc5f9-7aab-4bf6-a41d-e2e9f6428ba7&delo_id=1540005,14.03.2025,Никифоров Максим Юрьевич,6
2-292/2025 ~ М-184/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835161&case_uid=c8de262f-a198-44d2-9ee8-b06adc3aad8c&delo_id=1540005,10.03.2025,Фок Татьяна Андреевна,6
2-247/2025 ~ М-153/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30837653&case_uid=47b20295-bd1a-4506-99ef-078fd0e026db&delo_id=1540005,27.02.2025,Никифоров Максим Юрьевич,6
2-266/2025 ~ М-152/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30837623&case_uid=848e5a33-ce98-4eb5-aa91-898e5359027e&delo_id=1540005,27.02.2025,Литюк Василий Васильевич,6
2-246/2025 ~ М-151/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30837596&case_uid=9d8be2cc-1bfa-4a44-a101-900eac588d82&delo_id=1540005,27.02.2025,Никифоров Максим Юрьевич,7
2-265/2025 ~ М-150/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30837583&case_uid=35c72914-3ebc-4b87-8677-c6e57f04f496&delo_id=1540005,27.02.2025,Литюк Василий Васильевич,7
2-264/2025 ~ М-149/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30837557&case_uid=91a40f23-aa8c-4fc6-800b-c476dedc26e9&delo_id=1540005,27.02.2025,Литюк Василий Васильевич,7
2-263/2025 ~ М-148/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30837526&case_uid=465d3866-44f5-41f2-9d7d-6b227d369e91&delo_id=1540005,27.02.2025,Литюк Василий Васильевич,7
2-244/2025 ~ М-147/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30837483&case_uid=53ef3e3d-c626-4c76-9786-02785e007557&delo_id=1540005,27.02.2025,Никифоров Максим Юрьевич,7
2-262/2025 ~ М-146/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30837436&case_uid=3321b7c8-77d9-43fd-a653-7ea5528c0e69&delo_id=1540005,27.02.2025,Литюк Василий Васильевич,7
2-183/2025 ~ М-59/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30836718&case_uid=ee9fe45c-1448-446b-9a60-323001e71b10&delo_id=1540005,29.01.2025,Литюк Василий Васильевич,7
2-139/2025 ~ М-30/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835271&case_uid=c2a0ac42-fdb2-4df4-a5ec-2d93b99cae97&delo_id=1540005,15.01.2025,Никифоров Максим Юрьевич,7
2-145/2025 ~ М-29/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835256&case_uid=e4607efb-e646-4755-ab01-ba1f38d7870a&delo_id=1540005,15.01.2025,Фок Татьяна Андреевна,7
2-155/2025 ~ М-28/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835241&case_uid=bb9d2cd9-69a2-4916-a83b-d7a88a19efea&delo_id=1540005,15.01.2025,Литюк Василий Васильевич,7
2-146/2025 ~ М-27/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30834824&case_uid=f39d3220-2ad3-4702-bcd9-84575191444f&delo_id=1540005,15.01.2025,Фок Татьяна Андреевна,7
2-156/2025 ~ М-26/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30834790&case_uid=97300092-cf6a-404b-8df5-95d5cf9f5a4e&delo_id=1540005,15.01.2025,Литюк Василий Васильевич,7
2-157/2025 ~ М-25/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30834764&case_uid=3e48b948-4a87-41e5-a939-61cde0c954a4&delo_id=1540005,15.01.2025,Литюк Василий Васильевич,7
2-158/2025 ~ М-24/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30834751&case_uid=cf3d3b85-5516-445c-bfb8-d10bc3bd01b7&delo_id=1540005,15.01.2025,Литюк Василий Васильевич,7
2-140/2025 ~ М-23/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30833811&case_uid=1a25d5e3-aaa4-49ad-be38-0d7e9f9f10b7&delo_id=1540005,15.01.2025,Никифоров Максим Юрьевич,7
2-147/2025 ~ М-22/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30833795&case_uid=88e46640-1f4d-4314-903f-b41ac7e2d94c&delo_id=1540005,15.01.2025,Фок Татьяна Андреевна,7
2-101/2025 (2-927/2024;) ~ М-1075/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835439&case_uid=4b42926f-22ed-4ed9-8434-1235bc5dab57&delo_id=1540005,19.12.2024,Фок Татьяна Андреевна,7
2-113/2025 (2-940/2024;) ~ М-1074/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835424&case_uid=4323e6ea-6125-4e4d-acbf-a54551cae2d9&delo_id=1540005,19.12.2024,Литюк Василий Васильевич,7
2-102/2025 (2-928/2024;) ~ М-1073/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835411&case_uid=6f2acb52-e692-4ab5-8994-009d321b301a&delo_id=1540005,19.12.2024,Фок Татьяна Андреевна,7
2-112/2025 (2-939/2024;) ~ М-1072/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835395&case_uid=1a37cd7f-addf-49c4-9816-c4482bfabbc9&delo_id=1540005,19.12.2024,Литюк Василий Васильевич,7
2-103/2025 (2-929/2024;) ~ М-1071/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835086&case_uid=cf59f2a6-0bd7-49c4-a2c4-a14ca33c2637&delo_id=1540005,19.12.2024,Фок Татьяна Андреевна,7
2-111/2025 (2-938/2024;) ~ М-1070/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835070&case_uid=e2deefd9-3ac7-4b4a-9aeb-57f5e1f3309d&delo_id=1540005,19.12.2024,Литюк Василий Васильевич,7
2-87/2025 (2-910/2024;) ~ М-1069/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835053&case_uid=7fa05206-0400-45bd-b32d-cead971e001a&delo_id=1540005,19.12.2024,Никифоров Максим Юрьевич,7
2-110/2025 (2-937/2024;) ~ М-1068/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30835025&case_uid=9d53fb39-e5e9-4f4d-b84b-8ab2e77c5fef&delo_id=1540005,19.12.2024,Литюк Василий Васильевич,7
2-45/2025 (2-850/2024;) ~ М-992/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30833399&case_uid=75ab8131-998f-46ea-9414-0529f4e593a0&delo_id=1540005,22.11.2024,Литюк Василий Васильевич,7
2-48/2025 (2-854/2024;) ~ М-991/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30833356&case_uid=d6c1a567-fb92-405c-8c9b-f9beeff91777&delo_id=1540005,22.11.2024,Фок Татьяна Андреевна,8
2-47/2025 (2-853/2024;) ~ М-990/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30832296&case_uid=3dbab048-c028-4c18-9727-a57d5dcd2635&delo_id=1540005,22.11.2024,Фок Татьяна Андреевна,8
2-44/2025 (2-849/2024;) ~ М-989/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30832182&case_uid=a5334fe8-f15b-46ea-9a8e-1b42c9bd90e0&delo_id=1540005,22.11.2024,Литюк Василий Васильевич,8
2-49/2025 (2-855/2024;) ~ М-988/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30832122&case_uid=be063d93-b4e2-4195-8d3f-45c72246b0da&delo_id=1540005,22.11.2024,Никифоров Максим Юрьевич,8
2-43/2025 (2-848/2024;) ~ М-987/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30832014&case_uid=b03536f1-c285-4730-91ea-b8402e63bf39&delo_id=1540005,22.11.2024,Литюк Василий Васильевич,8
2-46/2025 (2-852/2024;) ~ М-986/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30831218&case_uid=afb56f9d-81b6-46e0-9d02-de5c5bd54686&delo_id=1540005,22.11.2024,Фок Татьяна Андреевна,8
2-42/2025 (2-847/2024;) ~ М-985/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30830267&case_uid=54d1b4ea-56a4-4dea-b310-8a9601b7b770&delo_id=1540005,22.11.2024,Литюк Василий Васильевич,8
2-31/2025 (2-829/2024;) ~ М-970/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30831645&case_uid=8e27c63e-2c97-48b0-8058-66487325012a&delo_id=1540005,14.11.2024,Фок Татьяна Андреевна,8
2-30/2025 (2-828/2024;) ~ М-969/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30829915&case_uid=302dda1a-ee0a-4297-8222-a36743e235f3&delo_id=1540005,14.11.2024,Фок Татьяна Андреевна,8
2-24/2025 (2-814/2024;) ~ М-955/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30832404&case_uid=df6c1d18-f449-40e7-9961-88800466f55b&delo_id=1540005,02.11.2024,Фок Татьяна Андреевна,8
2-25/2025 (2-815/2024;) ~ М-954/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30832031&case_uid=ee23000b-d85b-4e69-8de9-d1885adda7d8&delo_id=1540005,02.11.2024,Никифоров Максим Юрьевич,8
2-23/2025 (2-813/2024;) ~ М-953/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30831808&case_uid=42a6e059-a4ae-485c-9a46-49ea18acb5be&delo_id=1540005,02.11.2024,Фок Татьяна Андреевна,8
2-22/2025 (2-812/2024;) ~ М-952/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30830139&case_uid=9dfe9d20-37d5-43a3-a5aa-75092724acd0&delo_id=1540005,02.11.2024,Фок Татьяна Андреевна,8
2-21/2025 (2-811/2024;) ~ М-951/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30829549&case_uid=d07b2564-b525-43f4-8563-90dba31c8002&delo_id=1540005,02.11.2024,Фок Татьяна Андреевна,8
2-20/2025 (2-810/2024;) ~ М-950/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30829524&case_uid=15ed76de-016c-477d-b9fb-2a7885b176ae&delo_id=1540005,02.11.2024,Фок Татьяна Андреевна,8
2-791/2024 ~ М-934/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30833298&case_uid=251b3295-596a-476c-b1b9-7de0a5175538&delo_id=1540005,23.10.2024,Фок Татьяна Андреевна,8
2-797/2024 ~ М-932/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30833271&case_uid=24e09289-2fc2-4a61-8a4c-1ea42be9a0e8&delo_id=1540005,23.10.2024,Литюк Василий Васильевич,8
2-796/2024 ~ М-931/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30833258&case_uid=f4c1f5ce-2986-4c34-972a-5284b10d8e42&delo_id=1540005,23.10.2024,Литюк Василий Васильевич,8
2-789/2024 ~ М-930/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30833219&case_uid=09d0c952-fcf1-4c31-b78f-3b74d464cd0d&delo_id=1540005,23.10.2024,Фок Татьяна Андреевна,8
2-795/2024 ~ М-929/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30833193&case_uid=bfb5b027-669a-4ca6-9812-d5ea89e04f10&delo_id=1540005,23.10.2024,Литюк Василий Васильевич,8
2-788/2024 ~ М-928/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30833180&case_uid=82441f9f-22cc-4ee9-a465-f642d212a6f6&delo_id=1540005,23.10.2024,Фок Татьяна Андреевна,8
2-794/2024 ~ М-927/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30830480&case_uid=ebed4c01-4968-4266-bd29-de5fc3927d5d&delo_id=1540005,23.10.2024,Литюк Василий Васильевич,8
2-793/2024 ~ М-926/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30829928&case_uid=b2e71d62-d39c-4e31-9836-76407a7f984e&delo_id=1540005,23.10.2024,Литюк Василий Васильевич,8
2-15/2025 (2-787/2024;) ~ М-925/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30829900&case_uid=253e9a3c-2028-4860-9267-f240b13951ea&delo_id=1540005,23.10.2024,Фок Татьяна Андреевна,8
2-792/2024 ~ М-924/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30829777&case_uid=b364be89-c975-40dc-b985-3fa44a3a62f9&delo_id=1540005,23.10.2024,Литюк Василий Васильевич,8
2-638/2024 ~ М-773/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30830882&case_uid=d34e73af-1368-4382-bcbc-c994a17d376b&delo_id=1540005,05.09.2024,Никифоров Максим Юрьевич,9
2-639/2024 ~ М-772/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30830867&case_uid=6ccd6a3c-f768-41e4-bb8d-9ff87e81b599&delo_id=1540005,05.09.2024,Никифоров Максим Юрьевич,9
2-640/2024 ~ М-771/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30830852&case_uid=b8bb669c-9b40-4dfa-a1dd-83c40ff5012c&delo_id=1540005,05.09.2024,Никифоров Максим Юрьевич,9
2-641/2024 ~ М-770/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30830837&case_uid=5dfde3d9-8439-46e1-a472-88494001dc37&delo_id=1540005,05.09.2024,Никифоров Максим Юрьевич,9
2-642/2024 ~ М-769/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30830822&case_uid=a00bf0bd-667f-4d7b-8fe0-92529eec1ce3&delo_id=1540005,05.09.2024,Никифоров Максим Юрьевич,9
